          ;       22587;   ;Filtro    ;Inicio                                  ;04092013      ;173617;201.220.233.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       22587;   ;Filtro    ;tbk_param.txt                           ;04092013      ;173617;201.220.233.21 ;OK ;                    ;Archivo parseado                                                        
          ;       22587;   ;Filtro    ;Terminado                               ;04092013      ;173617;201.220.233.21 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       22587;   ;sanitiza  ;inicio                                  ;04092013      ;173617;201.220.233.21 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       22587;   ;sanitiza  ;Array                                   ;04092013      ;173617;201.220.233.21 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       22587;   ;sanitiza  ;Fin                                     ;04092013      ;173617;201.220.233.21 ;Ok ;                    ;Sanitizacion exitosa                                                    
8330577043;       22587;   ;pago      ;inicio                                  ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Parseo realizado                                                        
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Mac generado                                                            
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Datos listos para ser enviados                                          
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Redireccion web                                                         
8330577043;       22587;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;173617;201.220.233.21 ;OK ;597026007976        ;Todo OK                                                                 
          ;       23100;   ;resultado ;Desencriptando                          ;04092013      ;173808;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       23100;   ;resultado ;Validacion                              ;04092013      ;173808;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       23100;   ;resultado ;20130904093616                          ;04092013      ;173808;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       23100;   ;resultado ;20130904093616                          ;04092013      ;173808;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
8330577043;       23100;   ;transacc  ;8330577043                              ;04092013      ;173808;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
8330577043;       23100;   ;resultado ;logro abrir_conexion                    ;04092013      ;173808;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
8330577043;       23100;   ;transacc  ;8330577043                              ;04092013      ;173808;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
8330577043;       23100;   ;transacc  ;8330577043                              ;04092013      ;173808;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       23120;   ;check_mac ;                                        ;04092013      ;173809;10.100.7.2     ;OK ;                    ;Todo OK                                                                 
8330577043;       23100;   ;transacc  ;8330577043                              ;04092013      ;173809;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
8330577043;       23100;   ;resultado ;20130904093616                          ;04092013      ;173809;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
8330577043;       23100;   ;resultado ;20130904093616                          ;04092013      ;173809;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
8330577043;       23100;   ;resultado ;20130904093616                          ;04092013      ;173809;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       13187;   ;Filtro    ;Inicio                                  ;04092013      ;215810;201.220.233.20 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13187;   ;Filtro    ;tbk_param.txt                           ;04092013      ;215810;201.220.233.20 ;OK ;                    ;Archivo parseado                                                        
          ;       13187;   ;Filtro    ;Terminado                               ;04092013      ;215810;201.220.233.20 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       13187;   ;sanitiza  ;inicio                                  ;04092013      ;215810;201.220.233.20 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       13187;   ;sanitiza  ;Array                                   ;04092013      ;215810;201.220.233.20 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       13187;   ;sanitiza  ;Fin                                     ;04092013      ;215810;201.220.233.20 ;Ok ;                    ;Sanitizacion exitosa                                                    
8346291000;       13187;   ;pago      ;inicio                                  ;04092013      ;215810;201.220.233.20 ;OK ;597026007976        ;Parseo realizado                                                        
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215810;201.220.233.20 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215810;201.220.233.20 ;OK ;597026007976        ;Mac generado                                                            
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215810;201.220.233.20 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215811;201.220.233.20 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215811;201.220.233.20 ;OK ;597026007976        ;Datos listos para ser enviados                                          
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215811;201.220.233.20 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215811;201.220.233.20 ;OK ;597026007976        ;Redireccion web                                                         
8346291000;       13187;   ;pago      ;https://certificacion.webpay.cl         ;04092013      ;215811;201.220.233.20 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13249;   ;resultado ;Desencriptando                          ;04092013      ;215902;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
