          ;       18458;   ;Filtro    ;Inicio                                  ;06092013      ;093040;200.54.182.18  ;OK ;                    ;Inicio de filtrado                                                      
          ;       18458;   ;Filtro    ;tbk_param.txt                           ;06092013      ;093040;200.54.182.18  ;OK ;                    ;Archivo parseado                                                        
          ;       18458;   ;Filtro    ;Terminado                               ;06092013      ;093040;200.54.182.18  ;OK ;                    ;Datos Filtrados con exito                                               
          ;       18458;   ;sanitiza  ;inicio                                  ;06092013      ;093040;200.54.182.18  ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       18458;   ;sanitiza  ;Array                                   ;06092013      ;093040;200.54.182.18  ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       18458;   ;sanitiza  ;Fin                                     ;06092013      ;093040;200.54.182.18  ;Ok ;                    ;Sanitizacion exitosa                                                    
8474240066;       18458;   ;pago      ;inicio                                  ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Parseo realizado                                                        
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Mac generado                                                            
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Datos listos para ser enviados                                          
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Redireccion web                                                         
8474240066;       18458;   ;pago      ;https://certificacion.webpay.cl         ;06092013      ;093040;200.54.182.18  ;OK ;597026007976        ;Todo OK                                                                 
          ;       19062;   ;resultado ;Desencriptando                          ;06092013      ;093130;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       19062;   ;resultado ;Validacion                              ;06092013      ;093130;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       19062;   ;resultado ;20130906013039                          ;06092013      ;093130;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       19062;   ;resultado ;20130906013039                          ;06092013      ;093130;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
8474240066;       19062;   ;transacc  ;8474240066                              ;06092013      ;093130;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
8474240066;       19062;   ;resultado ;logro abrir_conexion                    ;06092013      ;093130;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
8474240066;       19062;   ;transacc  ;8474240066                              ;06092013      ;093130;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
8474240066;       19062;   ;transacc  ;8474240066                              ;06092013      ;093130;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       19086;   ;check_mac ;                                        ;06092013      ;093132;10.100.7.2     ;OK ;                    ;Todo OK                                                                 
8474240066;       19062;   ;transacc  ;8474240066                              ;06092013      ;093132;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
8474240066;       19062;   ;resultado ;20130906013039                          ;06092013      ;093132;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
8474240066;       19062;   ;resultado ;20130906013039                          ;06092013      ;093132;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
8474240066;       19062;   ;resultado ;20130906013039                          ;06092013      ;093132;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       31086;   ;Filtro    ;Inicio                                  ;06092013      ;094447;200.54.182.18  ;OK ;                    ;Inicio de filtrado                                                      
          ;       31086;   ;Filtro    ;tbk_param.txt                           ;06092013      ;094447;200.54.182.18  ;OK ;                    ;Archivo parseado                                                        
