          ;       21915;   ;Filtro    ;Inicio                                  ;11092013      ;112702;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;       21915;   ;Filtro    ;tbk_param.txt                           ;11092013      ;112702;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;       21915;   ;Filtro    ;Terminado                               ;11092013      ;112702;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;       21915;   ;sanitiza  ;inicio                                  ;11092013      ;112702;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       21915;   ;sanitiza  ;Array                                   ;11092013      ;112702;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       21915;   ;sanitiza  ;Fin                                     ;11092013      ;112702;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
8909622619;       21915;   ;pago      ;inicio                                  ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Parseo realizado                                                        
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Mac generado                                                            
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Datos listos para ser enviados                                          
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Medio 2: Por redireccion                                                
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Redireccion web                                                         
8909622619;       21915;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;112702;200.6.100.5    ;OK ;597026007976        ;Todo OK                                                                 
          ;       22004;   ;resultado ;Desencriptando                          ;11092013      ;112748;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       22004;   ;resultado ;Validacion                              ;11092013      ;112748;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       22004;   ;resultado ;20130911022702                          ;11092013      ;112748;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       22004;   ;resultado ;20130911022702                          ;11092013      ;112748;200.10.12.55   ;OK ;                    ;http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt_compra.php  
8909622619;       22004;   ;transacc  ;8909622619                              ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
8909622619;       22004;   ;resultado ;logro abrir_conexion                    ;11092013      ;112748;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
8909622619;       22004;   ;transacc  ;8909622619                              ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;POST a url http://dev.neuralis.cl/rutamaule/tarjeta-prepago/app/KCC/xt  
8909622619;       22004;   ;transacc  ;8909622619                              ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       22007;   ;check_mac ;                                        ;11092013      ;112748;10.100.7.2     ;OK ;                    ;Todo OK                                                                 
8909622619;       22004;   ;transacc  ;8909622619                              ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
8909622619;       22004;   ;resultado ;20130911022702                          ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
8909622619;       22004;   ;resultado ;20130911022702                          ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
8909622619;       22004;   ;resultado ;20130911022702                          ;11092013      ;112748;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       24742;   ;Filtro    ;Inicio                                  ;11092013      ;113514;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;       24742;   ;Filtro    ;tbk_param.txt                           ;11092013      ;113514;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;       24742;   ;Filtro    ;Terminado                               ;11092013      ;113514;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;       24742;   ;sanitiza  ;inicio                                  ;11092013      ;113514;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       24742;   ;sanitiza  ;Array                                   ;11092013      ;113514;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       24742;   ;sanitiza  ;Fin                                     ;11092013      ;113514;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
8910114139;       24742;   ;pago      ;inicio                                  ;11092013      ;113514;200.6.100.5    ;OK ;597026007976        ;Parseo realizado                                                        
8910114139;       24742;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;113514;200.6.100.5    ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
8910114139;       24742;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;113514;200.6.100.5    ;OK ;597026007976        ;Mac generado                                                            
8910114139;       24742;   ;pago      ;https://certificacion.webpay.cl         ;11092013      ;113514;200.6.100.5    ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
