          ;       12074;   ;Filtro    ;Inicio                                  ;01102013      ;121630;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       12074;   ;Filtro    ;tbk_param.txt                           ;01102013      ;121630;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       12074;   ;Filtro    ;Terminado                               ;01102013      ;121630;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
          ;       12074;   ;sanitiza  ;inicio                                  ;01102013      ;121630;200.54.88.50   ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       12074;   ;sanitiza  ;Array                                   ;01102013      ;121630;200.54.88.50   ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       12074;   ;sanitiza  ;Fin                                     ;01102013      ;121630;200.54.88.50   ;Ok ;                    ;Sanitizacion exitosa                                                    
0640590426;       12074;   ;pago      ;inicio                                  ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Parseo realizado                                                        
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Mac generado                                                            
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Datos listos para ser enviados                                          
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Medio 2: Por redireccion                                                
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Redireccion web                                                         
0640590426;       12074;   ;pago      ;https://certificacion.webpay.cl         ;01102013      ;121630;200.54.88.50   ;OK ;597026007976        ;Todo OK                                                                 
          ;       12136;   ;Filtro    ;Inicio                                  ;01102013      ;121641;200.54.88.50   ;OK ;                    ;Inicio de filtrado                                                      
          ;       12136;   ;Filtro    ;tbk_param.txt                           ;01102013      ;121641;200.54.88.50   ;OK ;                    ;Archivo parseado                                                        
          ;       12136;   ;Filtro    ;Terminado                               ;01102013      ;121641;200.54.88.50   ;OK ;                    ;Datos Filtrados con exito                                               
