          ;        4732;   ;Filtro    ;Inicio                                  ;24102013      ;103801;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;        4732;   ;Filtro    ;tbk_param.txt                           ;24102013      ;103801;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;        4732;   ;Filtro    ;Terminado                               ;24102013      ;103801;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;        4732;   ;sanitiza  ;inicio                                  ;24102013      ;103801;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        4732;   ;sanitiza  ;Array                                   ;24102013      ;103801;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        4732;   ;sanitiza  ;Fin                                     ;24102013      ;103801;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
2621881156;        4732;   ;pago      ;inicio                                  ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Parseo realizado                                                        
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Mac generado                                                            
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Datos listos para ser enviados                                          
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103801;200.6.100.5    ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103802;200.6.100.5    ;OK ;597030639545        ;Datos validados                                                         
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103802;200.6.100.5    ;OK ;597030639545        ;Token=e809da9a5b7a86842c1884fb33cd8d70f6f80bd6f1a8e8121a71b37518b8fc6e  
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103802;200.6.100.5    ;OK ;597030639545        ;Redireccion web                                                         
2621881156;        4732;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;103802;200.6.100.5    ;OK ;597030639545        ;Todo OK                                                                 
          ;        1584;   ;Filtro    ;Inicio                                  ;24102013      ;123050;200.6.100.5    ;OK ;                    ;Inicio de filtrado                                                      
          ;        1584;   ;Filtro    ;tbk_param.txt                           ;24102013      ;123050;200.6.100.5    ;OK ;                    ;Archivo parseado                                                        
          ;        1584;   ;Filtro    ;Terminado                               ;24102013      ;123050;200.6.100.5    ;OK ;                    ;Datos Filtrados con exito                                               
          ;        1584;   ;sanitiza  ;inicio                                  ;24102013      ;123050;200.6.100.5    ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        1584;   ;sanitiza  ;Array                                   ;24102013      ;123050;200.6.100.5    ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        1584;   ;sanitiza  ;Fin                                     ;24102013      ;123050;200.6.100.5    ;Ok ;                    ;Sanitizacion exitosa                                                    
2628650497;        1584;   ;pago      ;inicio                                  ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Parseo realizado                                                        
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Mac generado                                                            
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Datos listos para ser enviados                                          
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123050;200.6.100.5    ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123051;200.6.100.5    ;OK ;597030639545        ;Datos validados                                                         
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123051;200.6.100.5    ;OK ;597030639545        ;Token=eab2347e54d22739c050dcd394b9dc09ffe42f23a2f3f506dd6d80f8195b2c08  
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123051;200.6.100.5    ;OK ;597030639545        ;Redireccion web                                                         
2628650497;        1584;   ;pago      ;https://webpay.transbank.cl             ;24102013      ;123051;200.6.100.5    ;OK ;597030639545        ;Todo OK                                                                 
