          ;        2796;   ;Filtro    ;Inicio                                  ;30102013      ;103045;190.196.157.58 ;OK ;                    ;Inicio de filtrado                                                      
          ;        2796;   ;Filtro    ;tbk_param.txt                           ;30102013      ;103045;190.196.157.58 ;OK ;                    ;Archivo parseado                                                        
          ;        2796;   ;Filtro    ;Terminado                               ;30102013      ;103045;190.196.157.58 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        2796;   ;sanitiza  ;inicio                                  ;30102013      ;103045;190.196.157.58 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        2796;   ;sanitiza  ;Array                                   ;30102013      ;103045;190.196.157.58 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        2796;   ;sanitiza  ;Fin                                     ;30102013      ;103045;190.196.157.58 ;Ok ;                    ;Sanitizacion exitosa                                                    
3139845234;        2796;   ;pago      ;inicio                                  ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Parseo realizado                                                        
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Mac generado                                                            
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Datos listos para ser enviados                                          
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103045;190.196.157.58 ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103046;190.196.157.58 ;OK ;597030639545        ;Datos validados                                                         
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103046;190.196.157.58 ;OK ;597030639545        ;Token=e5b3ce0cdd9b0304014c137f980ea2e5b32fc80d15017c59091f342f2b0e016a  
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103046;190.196.157.58 ;OK ;597030639545        ;Redireccion web                                                         
3139845234;        2796;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;103046;190.196.157.58 ;OK ;597030639545        ;Todo OK                                                                 
          ;        1288;   ;resultado ;Desencriptando                          ;30102013      ;103158;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        1288;   ;resultado ;Validacion                              ;30102013      ;103158;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        1288;   ;resultado ;20131030013044                          ;30102013      ;103158;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;        1288;   ;resultado ;20131030013044                          ;30102013      ;103158;200.10.14.34   ;OK ;                    ;http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php                       
3139845234;        1288;   ;transacc  ;3139845234                              ;30102013      ;103158;200.10.14.34   ;OK ;597030639545        ;conectandose al port :(80)                                              
3139845234;        1288;   ;resultado ;logro abrir_conexion                    ;30102013      ;103158;200.10.14.34   ; 0 ;597030639545        ;Abrio socket para conex-com                                             
3139845234;        1288;   ;transacc  ;3139845234                              ;30102013      ;103158;200.10.14.34   ;OK ;597030639545        ;POST a url http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php            
3139845234;        1288;   ;transacc  ;3139845234                              ;30102013      ;103158;200.10.14.34   ;OK ;597030639545        ;mensaje enviado                                                         
          ;        2012;   ;check_mac ;                                        ;30102013      ;103200;EMPTY          ;OK ;                    ;Todo OK                                                                 
3139845234;        1288;   ;transacc  ;3139845234                              ;30102013      ;103200;200.10.14.34   ;OK ;597030639545        ;Llego ACK del Comercio                                                  
3139845234;        1288;   ;resultado ;20131030013044                          ;30102013      ;103200;200.10.14.34   ;OK ;597030639545        ;tienda acepto transaccion                                               
3139845234;        1288;   ;resultado ;20131030013044                          ;30102013      ;103200;200.10.14.34   ;OK ;597030639545        ;respuesta enviada a TBK (ACK)                                           
3139845234;        1288;   ;resultado ;20131030013044                          ;30102013      ;103200;200.10.14.34   ;OK ;597030639545        ;Todo OK                                                                 
          ;        5100;   ;Filtro    ;Inicio                                  ;30102013      ;104137;190.196.157.58 ;OK ;                    ;Inicio de filtrado                                                      
          ;        5100;   ;Filtro    ;tbk_param.txt                           ;30102013      ;104137;190.196.157.58 ;OK ;                    ;Archivo parseado                                                        
          ;        5100;   ;Filtro    ;Terminado                               ;30102013      ;104137;190.196.157.58 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        5100;   ;sanitiza  ;inicio                                  ;30102013      ;104137;190.196.157.58 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        5100;   ;sanitiza  ;Array                                   ;30102013      ;104137;190.196.157.58 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        5100;   ;sanitiza  ;Fin                                     ;30102013      ;104137;190.196.157.58 ;Ok ;                    ;Sanitizacion exitosa                                                    
3140497241;        5100;   ;pago      ;inicio                                  ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Parseo realizado                                                        
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Mac generado                                                            
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Datos listos para ser enviados                                          
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Datos validados                                                         
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Token=ebd93b6fd4c9b13d9e6902a2b92dd7bdadeb332b20046febb846fe6dcacc0180  
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Redireccion web                                                         
3140497241;        5100;   ;pago      ;https://webpay.transbank.cl             ;30102013      ;104137;190.196.157.58 ;OK ;597030639545        ;Todo OK                                                                 
          ;        7732;   ;resultado ;Desencriptando                          ;30102013      ;104210;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        7732;   ;resultado ;Validacion                              ;30102013      ;104210;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        7732;   ;resultado ;20131030014136                          ;30102013      ;104210;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        7732;   ;resultado ;20131030014136                          ;30102013      ;104210;200.10.14.177  ;OK ;                    ;http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php                       
3140497241;        7732;   ;transacc  ;3140497241                              ;30102013      ;104210;200.10.14.177  ;OK ;597030639545        ;conectandose al port :(80)                                              
3140497241;        7732;   ;resultado ;logro abrir_conexion                    ;30102013      ;104210;200.10.14.177  ; 0 ;597030639545        ;Abrio socket para conex-com                                             
3140497241;        7732;   ;transacc  ;3140497241                              ;30102013      ;104210;200.10.14.177  ;OK ;597030639545        ;POST a url http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php            
3140497241;        7732;   ;transacc  ;3140497241                              ;30102013      ;104210;200.10.14.177  ;OK ;597030639545        ;mensaje enviado                                                         
